"","lon","lat","ubc_mat","ubc_map","ubc_cmd","elevuse_m","ci_rng"
"5192",-122.19824,43.6983,6.9,1472,265,1524,5.05166666666667
"5193",-122.23594,43.73022,8,1326,310,1189,2.27295833333333
"5194",-122.24594,43.72328,7.5,1338,272,1524,3.86607692307692
"5195",-122.22854,43.70486,7.3,1406,275,1524,2.996
"5196",-121.70146,45.66017,6.1,1845,243,1144,2.86785714285714
"5197",-121.70376,45.65553,6.2,1871,241,1144,3.92935714285714
"5198",-122.29512,47.63283,10.9,951,332,64,0.931428571428571
"5199",-120.34116,47.46097,10.4,238,763,207,4.78285714285714
"5200",-122.43005,48.75002,9.6,1054,247,55,3.7939
"5201",-122.69119,45.73818,11.2,1090,400,61,2.69370833333333
"5202",-121.4481,45.79516,9.1,855,530,519,2.0031282051282
"5203",-121.406,47.78711,5.2,3163,66,1369,2.86303571428571
"5204",-122.17162,47.60722,10.8,1015,330,47,2.75534210526316
"5205",-123.24658,44.54145,11.3,1076,509,76,2.64161764705882
"5206",-121.94707,45.81536,9.2,2507,310,357,2.45876
"5207",-116.5887,45.52874,9.9,478,512,927,3.28816666666667
"5208",-120.3615,48.48202,6.1,606,468,1023,2.98928571428571
"5209",-123.4011,47.50109,6.6,3280,78,1131,3.09042857142857
"5210",-122.34582,47.6668,10.8,951,334,46,3.5416
"5211",-122.88432,47.02704,10.3,1269,356,61,2.73019444444444
"5212",-120.97996,46.64388,5,810,323,1542,0
"5213",-120.96146,46.65077,5.3,747,342,1481,2.511
"5214",-121.02556,46.63735,4.2,981,277,1737,2.876875
"5215",-121.00816,46.63872,4.4,921,292,1661,0
"5216",-120.93016,46.66563,6,639,400,1280,2.28272727272727
"5217",-120.89796,46.68501,6.9,503,516,975,2.39444444444444
"5218",-79.44784,37.61373,12.4,1202,210,572,7.10508333333333
"5219",-79.44228,37.57734,12.4,1202,200,427,9.179
"5220",-79.64978,39.03343,8.9,1360,25,671,7.01309090909091
"5221",-114.20372,44.87938,0.9,771,212,2691,0.71
"5222",-78.48975,38.7701,11.2,1017,234,610,3.91880555555555
"5223",-90.21013,48.07004,2,752,100,457,1.67970731707317
"5224",-79.35977,39.0201,6.8,1200,76,305,3.84235
"5225",-79.3331,39.0001,6.7,1243,44,1173,3.855375
"5226",-78.66975,38.6101,10.8,1115,156,762,4.27176923076923
"5227",-79.48509,37.59507,12.6,1187,226,439,4.01039285714286
"5228",-92.9302,36.69014,13.6,1062,313,305,3.0014625
"5229",-79.45179,37.56181,11.4,1313,87,742,8.035125
"5230",-79.43729,37.57042,11.7,1263,121,719,9.44225
"5231",-79.40197,37.59599,12.8,1143,268,366,5.9745
"5232",-79.44086,37.56369,11,1338,50,937,9.8122
"5233",-79.46169,37.58651,11.7,1277,114,767,7.87275
"5234",-79.48534,37.57608,12.7,1193,233,378,4.726875
"5235",-79.63978,38.5701,6.9,1177,89,1097,5.12405263157894
"5236",-114.52104,45.10696,0.7,855,181,2578,2.06571428571429
"5237",-73.02955,43.12003,5.4,1381,53,335,2.98403488372093
"5238",-79.39385,37.5938,12.9,1127,282,313,5.06205882352941
"5239",-113.06628,44.63041,1.4,518,229,2438,6.696
"5240",-107.86664,37.3531,7.5,520,633,2073,2.1455
"5241",-107.33793,37.30328,6.9,600,541,2225,2.21389285714286
"5242",-108.01185,37.45174,0.5,1286,92,3566,2.32707894736842
"5243",-108.53256,37.46802,7.7,438,676,2164,1.05666666666667
"5244",-107.31193,37.19036,6.8,571,548,2408,2.90007142857143
"5245",-107.09242,37.38845,4.4,667,383,2652,2.27860416666667
"5246",-106.79181,37.4924,0.2,1563,71,3719,4.66714285714286
