"","lon","lat","ubc_mat","ubc_map","ubc_cmd","elevuse_m","ci_rng"
"340",-109.33735,35.68871,8.7,320,813,2198,4.976
"341",-109.11937,35.77235,8.6,324,824,2221,7.4625
"342",-109.7075,33.66115,8.2,693,535,2242,4.902
"343",-109.89642,35.92593,9.8,283,822,2210,5.25666666666667
"344",-110.11847,35.83164,10.7,267,965,2056,6.138
"345",-111.49656,35.10901,8.1,548,647,2120,5.852
"346",-111.76577,35.10507,7.7,640,619,2205,4.676
"347",-111.48373,35.24949,9.5,447,786,1989,5.185
"348",-111.71918,35.37401,5.2,735,460,2587,5.625
"349",-111.99111,35.46681,7.9,572,610,2302,5.23725
"350",-111.84137,35.78263,9.1,346,849,2047,4.9940625
"351",-111.8895,35.695,9.3,344,844,2098,5.97
"352",-112.00004,35.96539,8.7,425,706,2254,5.53392857142857
"353",-112.09767,35.10674,8.9,634,681,2118,3.8711875
"354",-112.26468,35.10466,10,570,715,2028,6.30333333333333
"355",-112.81544,35.14139,12.3,321,1057,1550,5.5125
"356",-112.54282,35.23079,12.7,332,1059,1543,5.42333333333333
"357",-112.53578,35.51257,11.1,353,975,1717,5.232
"358",-112.82974,35.49708,10.6,467,833,1830,5.492
"359",-112.77057,35.63609,10.6,402,849,1897,7.635
"360",-113.46619,34.99397,15,306,1113,1207,4.752
"361",-113.69192,35.1709,15.5,262,1159,1127,5.748
"362",-113.03021,35.2301,11.6,399,934,1701,5.185
"363",-113.58213,35.26392,14.5,286,1128,1305,5.94
"364",-113.30628,35.35811,11.3,518,813,1677,6.865
"365",-113.03467,35.74009,11.5,392,878,1816,5.72571428571429
"366",-113.35967,35.17428,12.2,405,936,1596,6.222
"367",-113.09595,35.90143,10.8,402,736,2068,5.17066666666667
"368",-118.54447,35.23703,14.8,273,1052,823,3.54428571428571
"369",-118.30412,35.37289,12.2,282,829,1615,5.871
"370",-118.55332,35.48292,12.3,364,845,1438,1.85
"371",-118.66287,35.60238,12.4,629,804,1311,0
"372",-118.83277,35.58171,16.2,329,1036,701,0
"373",-118.06073,35.74025,14.6,299,1008,1356,2.22
"374",-118.40548,35.71379,15.7,311,1075,1006,5.20571428571429
"375",-118.55125,35.70831,10,719,681,1890,6.56014285714286
"376",-118.58561,35.97389,9.3,806,676,1885,7.22241666666667
"377",-120.396,35.25873,15.6,671,894,457,1.893
"378",-120.13806,35.38258,15,243,1190,549,3.60225
"379",-120.95383,35.6928,14.7,478,1116,396,2.99105882352941
"380",-120.97979,35.93508,15.4,497,1071,579,5.00665384615385
"381",-76.34154,36.1538,15.8,1266,127,30,4.283
"382",-76.89774,36.75627,14.7,1193,213,30,4.32077777777778
"383",-76.60022,36.76669,14.8,1210,154,30,4.98
"384",-77.25087,36.07003,15.5,1213,219,49,4.91485714285714
"385",-77.87923,36.01565,15.5,1160,279,30,3.808
"386",-77.42163,36.2458,15.3,1167,267,30,3.9376
"387",-77.02914,36.51143,14.7,1210,209,30,3.22286666666667
"388",-77.70775,36.88457,14.2,1122,287,91,5.77675
"389",-78.54646,36.34924,14.7,1140,274,152,5.898
"390",-78.43823,36.58353,14.3,1094,305,91,5.1375
"391",-78.31243,36.82726,14.1,1102,311,152,5.148
"392",-78.92414,36.76725,14.1,1113,297,152,3.47572222222222
